,I,P,S,B,K,A
68,-2.0,-0.4812355468610958,0.9806046328492626,3.0,0.4541490958273567,4.355095484904174
69,-2.0,0.5526258801004569,1.0791127936751246,2.0,0.20235744114131074,-0.4262015108498565
70,-2.0,1.3487251168650534,1.197934818173612,2.0,0.715500034966856,-0.5843566590169409
71,-2.0,1.5102634447965266,0.9183190339306404,2.0,0.5995598543977655,0.09091274790748771
72,-2.0,0.48664423165742643,0.022716508819237428,3.0,0.3816617414971003,3.1661414639113588
73,-2.0,1.2887621152089193,1.017411932638133,2.0,0.7814150683189134,1.887285251607462
74,-2.0,3.7639900181408654,0.7593116773951215,2.0,0.9094930376936783,1.4854977029459004
75,-2.0,-1.709961139372734,1.1603104700612057,3.0,0.5425328363377654,-0.17652459862707515
76,-2.0,2.1481850304487606,0.841615101050255,2.0,0.6147323653668191,1.8987999325997416
77,-2.0,-0.8706651125412896,1.1172019400355797,4.0,0.1922376298055889,-0.02176344825134091
78,-2.0,3.3373324956847923,-0.09290609155225946,2.0,0.06103081820598589,1.193382132314846
79,-2.0,-3.404369920831171,1.0968435564551209,2.0,0.857037562483033,-5.970462289863077
80,-2.0,2.783749359062064,1.1453452391669923,2.0,0.7650565380580313,-1.6656157839987356
81,-2.0,-0.8718367099432092,0.9983992844871026,2.0,0.5477486916887991,-3.299679757704999
82,-2.0,0.6985604203094085,0.899447089884329,3.0,0.41573494814429635,3.2225706057509553
83,-2.0,-0.48706516258038923,1.0589037589756713,2.0,0.8749701527754298,1.8535468268465505
84,-2.0,-1.552928113967604,1.006853572182577,2.0,0.6490157423456883,-3.4176313214327374
85,-2.0,-0.9796814129369369,-0.008711315139678,2.0,0.34526477830564983,-2.362791372939479
86,-2.0,0.47555603974317606,0.05085973464606059,2.0,0.992133769722187,4.054452102270458
87,-2.0,-0.36179696270504147,0.8511601914364098,2.0,0.5783106378987901,0.5048709228496484
88,-2.0,2.262639784273152,0.7020825767693828,4.0,0.8944593582814094,0.7747235289917846
89,-2.0,1.8399036886164086,1.0368236654187697,3.0,0.860996385541761,5.881718118666294
90,-2.0,-0.9689725082049648,1.0346466015449896,2.0,0.671471600238626,-2.289971715537294
91,-2.0,2.445324870490296,1.137297932595573,3.0,0.5042648699772557,-0.097211766624417
92,-2.0,-1.5769822574694978,-0.014215602605033363,3.0,0.42728109995134045,-0.9162613874000223
93,-2.0,-0.006541237645001678,0.8540892436381105,4.0,0.5661910412010202,3.6174727503306
94,-2.0,0.9226320280901974,0.11694793035695628,2.0,0.8117838329054347,1.2411361340986047
95,-2.0,-1.8980293194607114,0.9764441454581059,2.0,0.11414886888718122,-3.147315199536724
96,-2.0,1.4157417750254249,0.2310534001783353,3.0,0.8099589910783586,0.08672444141668545
97,-2.0,2.631065911681783,-0.016929027128677165,2.0,0.4398880442731665,2.914575671227999
98,-2.0,0.8635160564993063,0.8677495008805005,2.0,0.43931102811122236,0.8467218121836249
99,-2.0,2.41547124093421,1.0095197435756296,2.0,0.5074866807089076,-0.8884962682154469
